word	count
대통령	349
첫	239
게시판	182
트럼프	155
kt	149
감독	148
이란	147
등	143
출시	140
것	124
개최	116
신간	114
한국	112
5g	111
삼성	100
만에	99
전	99
네이버	92
중국	92
중	91
올해	90
정부	89
국내	87
류현진	83
mlb	81
공개	80
문	79
사망	77
새	77
lg	76
그래픽	76
추진	75
작년	74
skt	72
또	72
월드컵	72
김정은	70
더	70
스마트폰	70
지원	69
한	69
미국	68
최고	68
내달	67
서비스	67
시즌	67
총리	67
돌파	65
서울	64
방문	63
sk	61
개발	61
꺾고	61
연속	61
터키	61
개막	60
내년	60
논란	60
세계	60
최대	60
프로농구	60
내일	59
논의	59
북한	59
시리아	59
듯	58
아시안게임	57
후	56
안	55
전국	55
규모	54
러	54
민주	54
특징주	54
1위	53
증가	53
lgu	52
전망	52
홍콩	52
가능성	51
공격	51
손흥민	51
수	51
승리	51
여야	51
오늘	51
코스피	51
확대	51
vs	50
영업익	50
강화	49
eu	48
경기	48
시작	48
이스라엘	48
사우디	47
올림픽	47
하락	47
위한	46
결정	45
국회	45
러시아	45
문대통령	45
속	45
홈런	45
우려	44
다시	43
위해	43
대표	42
없어	42
장관	42
주말	42
합의	42
계약	41
한국당	41
nba	40
감소	40
비	40
상승	40
시장	40
외국인	40
추가	40
lg전자	39
관련	39
도입	39
발표	39
여행	39
진출	39
ai	38
미사일	38
선수	38
이상	38
일본	38
판매	38
구글	37
미	37
부상	37
브렉시트	37
의혹	37
검토	36
기업	36
다저스	36
대응	36
모바일	36
미세먼지	36
발사	36
선정	36
유럽	36
제주	36
총선	36
함께	36
회장	36
대선	35
시위	35
언론	35
출전	35
1분기	34
2분기	34
남북	34
내	34
부산	34
성공	34
오후	34
우승	34
피해	34
대상	33
제재	33
가장	32
반대	32
사장	32
앞두고	32
역대	32
영상	32
있다	32
준비	32
지지	32
협력	32
sk텔레콤	31
못	31
촉구	31
큰	31
확정	31
기술	30
낮	30
두	30
문제	30
삼성전자	30
선발	30
위기	30
인도	30
추신수	30
투자	30
행사	30
화웨이	30
kbs	29
n	29
대만	29
예상	29
프로배구	29
경찰	28
국민	28
날씨	28
놓고	28
눈	28
대비	28
두산	28
미래부	28
보도	28
수사	28
시진핑	28
없다	28
전북	28
주요	28
최지만	28
출신	28
카카오	28
프로축구	28
경제	27
계속	27
기대	27
날	27
대표팀	27
더민주	27
독일	27
매체	27
발견	27
베네수엘라	27
베트남	27
사업	27
신임	27
여성	27
요구	27
운영	27
최초	27
폭발	27
db	26
가능	26
갤럭시	26
공모	26
맞아	26
멕시코	26
모든	26
배구	26
사상	26
시	26
인터넷	26
일	26
지속	26
프랑스	26
필요	26
회동	26
2위	25
3분기	25
모집	25
실적	25
에	25
영향	25
위협	25
유엔	25
평양정상회담	25
해제	25
2년	24
2명	24
mvp	24
가입자	24
관광객	24
광주	24
때	24
목표가	24
방통위	24
비판	24
사태	24
선두	24
오바마	24
이탈리아	24
인천	24
일부	24
제공	24
중단	24
최소	24
충북	24
한은	24
해	24
4월	23
강정호	23
개시	23
갤럭시s8	23
금리	23
대구	23
뒤	23
롯데	23
목표	23
성장	23
앞둔	23
앱	23
연장	23
우리	23
이후	23
인기	23
인상	23
조국	23
참가	23
충돌	23
통화	23
패배	23
환율	23
5월	22
kbo	22
간담회	22
강세	22
개선	22
검찰	22
경고	22
계획	22
공연	22
달	22
대한항공	22
브라질	22
사드	22
시대	22
아베	22
아파트	22
울산	22
원내대표	22
이벤트	22
정상회담	22
착수	22
최다	22
출발	22
출범	22
특검	22
플랫폼	22
7월	21
is	21
lg유플러스	21
고객	21
글로벌	21
금감원	21
급증	21
대결	21
도전	21
리비아	21
맨유	21
무안타	21
미군	21
발언	21
방송	21
불참	21
상대	21
상반기	21
수상	21
애플	21
예고	21
원달러	21
유력	21
이라크	21
인수	21
전쟁	21
정상	21
조사	21
종료	21
주장	21
축제	21
콘텐츠	21
