id,text
45679,유튜브 내달 2일까지 크리에이터 지원 공간 운영
45680,어버이날 맑다가 흐려져…남부지방 옅은 황사
45681,내년부터 국가RD 평가 때 논문건수는 반영 않는다
45682,김명자 신임 과총 회장 원로와 젊은 과학자 지혜 모을 것
45683,회색인간 작가 김동식 양심고백 등 새 소설집 2권 출간
45684,야외서 생방송 하세요…액션캠 전용 요금제 잇따라
45685,월드컵 태극전사 16강 전초기지 레오강 입성종합
45686,미세먼지 속 출근길
45687,왓츠앱稅 230원에 성난 레바논 민심…총리사퇴로 이어져종합2보
45688,베트남 경제 고성장 지속…2분기 GDP 6.71% 성장
45689,그리스서 한국전 참전 기념식…참전용사 한반도 평화 기원
45690,정진석 이정현 당현실 냉정하게 봐야…물러나는게 좋다종합
45691,美 베네수엘라 구호품 반입 촉구 안보리 결의 추진
45692,황재균 쐐기타…kt 갈 길 바쁜 삼성에 고춧가루
45693,정상회담 D1 文대통령 취임 후 남북관계 주요 일지
45694,LGU＋ 1분기 영업익 1천706억원…마케팅 비용 감소종합
45695,박원순 시장 아부다비 루브르 박물관 방문
45696,방심위 강릉서 고성 산불현장처럼 보도한 KBS 관계자 징계
45697,파키스탄 경제난 속 카타르서 30억 달러 투자 유치
45698,일본 예산팽창에 재정건전성 우려…내년에 장기채무 GDP 2배
45699,칠레 민중가수 살해하고 미국 도피 전 군인 법정에 선다
45700,日 온라인으로 중국인 비자신청 받는다
45701,미 동부 마비시킨 악성 파일 국내서도 발견
45702,국내 발간 나노분야 학술지 나노 컨버전스 SCIE 등재
45703,5G 상용화 행정절차 완료…이통3사 내일 동시 전파 발사
45704,예스24 독자들이 선정한 올해의 책 여행의 이유
45705,이해찬 정경두에 안보지원사 기무사 같은 일 없도록 해야
45706,미래부 17개 부처별 연구비관리시스템 2개로 통합한다
45707,손흥민 더 승부욕 갖고 거칠게 해야…나부터 반성
45708,SK텔레콤안양시 모빌리티·스마트시티 조성 업무협약
45709,울산 오후 4시 건조주의보
45710,기업들 日규제 직접 피해보다 수입 불확실성이 더 문제
45711,日경제산업상 경제보복 비판여론에 언론이 제대로 이해못해
